filename,time_rel(sec)
xa.s12.00.mhz.1969-12-16HR00_evid00006,1553.824195
xa.s12.00.mhz.1970-01-09HR00_evid00007,7248.638321
xa.s12.00.mhz.1970-01-09HR00_evid00007,24395.33195
xa.s12.00.mhz.1970-01-09HR00_evid00007,26839.85052
xa.s12.00.mhz.1970-02-07HR00_evid00014,5474.735043
xa.s12.00.mhz.1970-02-07HR00_evid00014,12216.54385
xa.s12.00.mhz.1970-02-18HR00_evid00016,6032.196429
xa.s12.00.mhz.1970-02-18HR00_evid00016,43857.32497
xa.s12.00.mhz.1970-03-14HR00_evid00018,43212.9775
xa.s12.00.mhz.1970-03-30HR00_evid00020,46223.95412
xa.s12.00.mhz.1970-03-30HR00_evid00020,63576.30763
xa.s12.00.mhz.1970-04-03HR00_evid00021,38809.01732
xa.s12.00.mhz.1970-04-03HR00_evid00021,56581.08846
xa.s12.00.mhz.1970-05-20HR00_evid00026,60069.87582
xa.s12.00.mhz.1970-05-23HR00_evid00027,47285.96636
xa.s12.00.mhz.1970-05-24HR00_evid00028,16539.60605
xa.s12.00.mhz.1970-05-25HR00_evid00029,43897.04633
xa.s12.00.mhz.1970-06-19HR00_evid00031,9702.670701
xa.s12.00.mhz.1970-06-19HR00_evid00031,24003.0098
xa.s12.00.mhz.1970-06-19HR00_evid00031,77153.83108
xa.s12.00.mhz.1970-07-17HR00_evid00035,5677.214049
xa.s12.00.mhz.1970-07-17HR00_evid00035,18158.27654
xa.s12.00.mhz.1970-07-17HR00_evid00035,32576.39556
xa.s12.00.mhz.1970-07-18HR00_evid00036,1974.154306
xa.s12.00.mhz.1970-07-20HR00_evid00037,18327.07377
xa.s12.00.mhz.1970-07-20HR00_evid00037,42138.20108
xa.s12.00.mhz.1970-07-27HR00_evid00039,13129.86057
xa.s12.00.mhz.1970-09-09HR00_evid00043,43709.03821
xa.s12.00.mhz.1970-09-09HR00_evid00043,73257.51823
xa.s12.00.mhz.1970-10-26HR00_evid00049,18566.0147
xa.s12.00.mhz.1970-11-03HR00_evid00050,30847.83061
xa.s12.00.mhz.1970-11-03HR00_evid00050,62040.52894
xa.s12.00.mhz.1970-11-03HR00_evid00051,30847.83061
xa.s12.00.mhz.1970-11-03HR00_evid00051,62040.52894
xa.s12.00.mhz.1971-01-03HR00_evid00057,39330.66647
xa.s12.00.mhz.1971-01-05HR00_evid00059,2880.576539
xa.s12.00.mhz.1971-01-17HR00_evid00060,64214.18152
xa.s12.00.mhz.1971-03-15HR00_evid00073,28163.47044
xa.s12.00.mhz.1971-04-08HR01_evid00083,27058.05845
xa.s12.00.mhz.1971-05-22HR00_evid00092,64300.54729
xa.s12.00.mhz.1971-06-11HR00_evid00096,49835.07927
xa.s12.00.mhz.1971-06-27HR00_evid00101,67923.66186
xa.s12.00.mhz.1971-10-06HR00_evid00124,38802.58876
xa.s12.00.mhz.1971-10-06HR00_evid00124,62209.24745
xa.s12.00.mhz.1971-10-06HR00_evid00125,38802.58876
xa.s12.00.mhz.1971-10-06HR00_evid00125,62209.24745
xa.s12.00.mhz.1971-10-26HR00_evid00133,16402.77344
xa.s12.00.mhz.1971-11-24HR00_evid00156,9770.210298
xa.s12.00.mhz.1971-11-24HR00_evid00156,15847.9033
xa.s12.00.mhz.1971-11-24HR00_evid00156,58656.0879
xa.s12.00.mhz.1972-01-26HR00_evid00186,18498.43111
xa.s12.00.mhz.1972-02-21HR00_evid00190,63150.84817
xa.s12.00.mhz.1972-02-21HR00_evid00190,75168.0073
