filename,peak_value(m/s)
xa.s15.00.mhz.1973-04-04HR00_evid00098.csv,66374.688552
xa.s15.00.mhz.1973-08-10HR00_evid00126.csv,64690.035417
xa.s15.00.mhz.1973-10-27HR00_evid00134.csv,40306.278493
xa.s15.00.mhz.1974-10-19HR00_evid00157.csv,70573.227024
xa.s15.00.mhz.1974-11-17HR00_evid00162.csv,71546.358142
xa.s15.00.mhz.1974-11-21HR00_evid00166.csv,47821.444438
xa.s15.00.mhz.1974-11-21HR00_evid00166.csv,62272.464886
xa.s15.00.mhz.1974-12-15HR00_evid00169.csv,14317.709279
xa.s15.00.mhz.1974-12-15HR00_evid00169.csv,20426.494563
xa.s15.00.mhz.1974-12-15HR00_evid00169.csv,32844.124365
xa.s15.00.mhz.1974-12-15HR00_evid00170.csv,14317.709279
xa.s15.00.mhz.1974-12-15HR00_evid00170.csv,20426.494563
xa.s15.00.mhz.1974-12-15HR00_evid00170.csv,32844.124365
xa.s15.00.mhz.1975-04-12HR00_evid00190.csv,65637.816339
xa.s15.00.mhz.1975-06-22HR00_evid00194.csv,71563.657699
