filename,time_rel(sec)
xa.s16.00.mhz.1972-09-10HR00_evid00075,46692.70062
xa.s16.00.mhz.1972-11-06HR00_evid00079,15754.25912
xa.s16.00.mhz.1972-11-08HR00_evid00080,67278.33297
xa.s16.00.mhz.1972-11-14HR00_evid00081,27899.01405
xa.s16.00.mhz.1973-07-31HR00_evid00123,35553.25941
xa.s16.00.mhz.1974-05-19HR00_evid00146,69177.87962
xa.s16.00.mhz.1974-11-11HR00_evid00160,61029.53744
xa.s16.00.mhz.1974-12-12HR02_evid00168,55493.93467
xa.s16.00.mhz.1974-12-15HR00_evid00172,32877.23279
xa.s16.00.mhz.1974-12-25HR00_evid00174,76946.12982
xa.s16.00.mhz.1975-02-19HR00_evid00180,83328.75215
xa.s16.00.mhz.1977-04-17HR00_evid00249,48943.7646
xa.s16.00.mhz.1977-06-02HR00_evid00255,51986.86013
